label,review
1,大哥很热情！不错!好评
0,"不好吃,不是炒菜是咕嘟菜"
1,肉很多啊，超值，下次尝试其他口味
0,不怎么样，味道也差
0,饼特别硬，肉特别干一点味道都没有
0,一般，价格味道不成比…
0,豆浆不好喝…南瓜粥洒的满袋子都是…薄脆煎饼跟豆腐脑还是很好吃的
1,"及地很好吃,很特别,微辣"
0,客服态度恶劣，打电话催单我还不乐意呢！这速度简直了！
1,感觉酱味不太适合老北京人
0,有股怪味，吃着没食欲
1,很好吃。也很速度。服务态度也很好
1,"听闻不错,亲自品尝,面的味道确实可以"
0,羊排饭连餐厅点的一半不到，分量太少了
0,定了正一味的辣白菜，18元分量很少，没有米饭，味道一般
0,送的有些慢，可能是点餐人多吧，忍了；排骨汤，全骨头渣子；烤翅，mini的吧？而且味道也不行，干巴巴。
0,"午休时间总共一个小时,送餐迟到了五十分钟"
0,别的不说，就这速度也是醉了！做不到一小时就别写嘛！幸好不是等着救命的药！
0,都没给餐具啊！鸭子只有一盒子肉！太郁闷了！
1,很快。而且我就在一楼今天第一次给我送上门了，之前两次都是自己出去拿的
0,真的非常一般的味道！量少价格贵，味道。。。勉强下咽。好的一点是，等了半个小时来的。
0,从没吃过这么难吃的小炒肉，整个就是芹菜炒肉，用了红的辣椒皮，芹菜还是软的
1,很好很喜欢送餐的小美女态度很好
1,奶茶好喝！送餐准时，到的时候还是热乎乎的！
0,吃了很多次牛肉蔬菜拌饭，今天明显比以前少很多，不管菜或者饭都差不多之前一半，没吃饱，又去楼下买了份凉皮……
0,这么点菜是几个意思？！气死了。一次比一次少，店家欺人太甚。
0,没给我餐具！！！
1,大中午点的，送餐大哥很给力！速度很快，大中午的真是不容易！pizza馅料很多哦！满满的都是芝士哦，会再来
0,嗯嗯，可以吧。
0,滑鸡你妹啊，骨头比肉都多，还以为自己在吃牛蛙呢，你丫见过真正的北菇滑鸡饭吗
1,大哥送快点好么～～～～～
1,味道不错，就是送餐慢了点。下面那个叶良晨网络看多了吧，幼稚儿童一枚
0,送餐慢也就算了，东西都凉了不好吃了，差
0,送餐实在太慢了，整2个小时，辣菜也不注明，失望
0,"虾线不挑，看着太脏,不吃苦瓜，结果里面是苦瓜炒肉,一次失败的订餐"
0,差评，口感一般，量不够，最过分的是等了半天，快递小哥让我去楼下自取，说没有地址！324不知道在3层？？？！！！
1,非常实惠，不错！
0,什么味没有，不怎么样
0,送餐太差了，大酱汤全撒到袋子里了，沙拉的盒子是坏的！
0,有点小，没吃饱
1,"很好,配送快！"
0,太差了，下次肯定不定
0,慢。很慢。非常慢！7点半下的单，10点配送员才刚刚取餐，晚饭生生变成了夜宵。而且如果不是我打电话，配送员完全不知道和客户联系。说好60分钟送餐，最后变成了150+！不能接受任何借口和解释！！！更关键的是，送来的汉堡和薯条都已经是冷的！一到家门口纸袋就穿了，掉了一地！原本想着算了，结果发现汉堡还送错了！太烂了！！！
0,"特别油不好吃,基本没有牛肉,有几条肉丝,不超过3"
0,味道一般。来的时候已经有点凉了
0,饺子没煮熟，还粘在一起了。茶树菇里都是辣椒。再不点他家的东西了！
1,味道挺不错
1,味道很好！速度也够快！
0,送餐慢，味道一般，一点都不值20块，牛肉的根本没出来肉啊
1,有點慢呀…
1,潜力股，你懂的
0,服务态度很好，东西也好吃
0,等了两个半小时才到，不想说什么了
0,"送餐速度不是一般的慢,快两个小时才送来,宫保鸡丁饭米饭上面竟然还有咖喱"
0,太不靠谱！不是漏发订单就是菜送错了，要不就早送一小时！！！
0,"我要的米线,全都给做的土豆粉,很不满意,对配送比较满意。"
1,挺好的，优惠力度大，送餐准时
