label,review
1,服务真的太棒了！万分感谢快递员
1,"还不错,挺好,下次还点"
1,送的特别快，味道棒棒哒
1,快递大哥很负责任，相当棒
1,"骑士态度很好啊,小笼包也很不错"
1,快递小哥人又专业又好！快到了提前通知，电话很有礼貌很耐心，而且按时送到了
1,好吃，下次还会在吃的
1,小笼包挺好吃的，甜香，拌面也还可以，整体不错~
1,包子味美，孩子很喜欢。
1,骑士服务很好，商品质量也可。
1,好吃！送得很快！不错
1,挺好吃的送的也比较快
1,骑士速度超快！太赞了
1,第二次搞错了订单，我要的葱油面又被换成了小笼包，结果吃了两份小笼包撑死
1,"不止一次啦,很好哦,爸爸很喜欢呢"
1,第一次，感觉不错，孩子爱吃。
1,葱油拌面比较好吃，不过每次送过来都有点儿陀了，影响口感
1,"盛包子的饭盒太小了,而且下次要铺上什么以防包子粘饭盒底,汤包全漏了"
1,送到有点晚。虽然没有超过赔付时间，但超过了预计到达时间。不过雾霾锁京，还是要谢谢送餐师傅的辛苦付出
1,汤包味道尚可，可惜全都漏了。
1,菜品味道还都不错，快递也很快！
1,非常好速度很快服务态度很好味道超好超赞云吞有点贵汤包便宜又好吃下次还来
1,送货速度挺快的
1,外卖小哥速度很快，态度好，东西也好吃，赞
1,味道很赞，到家是热滴
1,我是吃完了饭来评价的！好像完了！1点10分就送到了！非常快！
1,味道很好又订的挺好吃
1,很贴心，汤和馄饨分开装了
1,送餐送错了，送来三种不同口味总计19个小笼包，也是醉了
1,很好吃，味道不错，谢谢
1,"汤包还是挺好吃的,再次订了"
1,"雾霾天气,还下雨了,非常快,辛苦啦"
1,"非常快,超级方便,辛苦啦"
1,"味道很好,皮薄有汤汁"
1,送的很及时，好评。。
1,味道还不错，就是份量太小啦！
1,很快，服务很好，非常方便，好吃
1,发票为什么少了30元
1,就是量特别少，味道一般吧。
1,送餐快递很给力，饭菜都热着呢，鲜肉小笼包和红烧肉都不错
1,配送超级到位，配送员认真负责
1,快！好！牛！
1,配送员特别好！很快！感谢配送员
1,"百度骑士很敬业,给100个赞"
1,"服务很好,很到位"
1,小笼包不错，下回还会点
1,送来的有点儿晚了，面条有点儿陀，不过味道真的不错，赞一个！外送小哥态度也很好！
1,"奶茶虽然有点洒,但送餐小哥速度很快,面也不错,给个好评吧"
1,配送速度很快，东西也好吃。
1,只想说这个配送速度简直吊炸天
1,菜肉馄饨和汤分别包装，这一点很赞！
1,服务很好，也很快，食物热热的
1,"运输速度快得不行,不满10个字"
1,谢谢师傅～送餐很快～辛苦您了～
1,灌汤包很好吃的，不错啦。
1,速度挺快的！点赞，继续加油？
1,速度挺快的。包子挺好吃，凉菜量太少！
1,快递师傅人超好，汤也好喝，送的快
1,速度非常快，很好！就是打包的面怎么都会有点坨
1,味道很好，就是面没有拌均匀，坨了。
1,外卖小哥和店家都很好
1,咸水鸭太少味道一般！
1,蔬菜稍微有点咸。。。。。
1,午餐高峰时段速度很快！
1,配送速度很快，配送员服务很好，包子一如既往的好，下次还会光顾
1,不错，好吃不贵，送餐速度快
1,特别特别好，外面马上就要下雨，小哥快马加鞭的来了～～神速～^_^
1,"送餐员很好,多给钱,还跑回来,给我了,很诚实"
1,谢谢咯，辛苦了。
1,很好吃，速度也快，小笼包汤汁很多，味道不错
1,很好吃，大家吃了后都找实体店去吃了
1,一直很满意，尤其是配送服务
1,快递师傅很快送到，辛苦啦。
1,很好很强大，速度快，吃的还很热乎，赞！
1,快递阿姨很好，速度快！
1,"送餐速度很快,糖醋小排很小一盒,云吞很大一盒"
1,服务态度好，送餐速度快，非常好～
1,肥肠粉味道不错，就是分量有点少
1,非常好，谢谢外送员
1,配送小哥超级棒！
1,原来一直用的百度糯米下单没评价功能，今天下了个专用客户端，把评价补上。这个确实不咋好吃
1,南京盐水鸭不错，鲜肉小笼汤包皮薄很好。
1,盐水鸭份量越来越少
1,太棒了，速度快，优惠也大！
1,忘说拿蘸料了，下次我得备注
1,很准时，菜品不错
1,"配送员很好,包子也可以"
1,很好很满意！
1,送餐小哥很细心
1,北菇滑鸡饭稍微有些咸
1,很喜欢的美食！
1,送餐的人非常好，特意打电话提醒我们有优惠
1,特别好，很礼貌的外卖小哥，赞
1,送餐员很棒很准时，谢谢！
1,很好吃，送餐及时！
1,味道真正好！送餐又快，以后常来！
1,送餐员，热情，服务好！
1,外卖的米粉量有点小
1,送餐员很好。
1,"很好吃,味道非常棒,送餐很迅速,态度很好"
1,有点慢，因为是现蒸的，着急的就别催了
1,送得特别特别快！嗖一下出现在我面前，哈哈
1,配送员很棒！
1,下次还点！
1,东西很好吃，送餐速度也非常快，只是窝蛋牛肉饭上边写带汤，可是没给~~不知道是不是忘记了~
1,相当好，味道正宗，送餐快，下次再来！
1,辣酱面好呲，好吃
1,赞，这次送的特快，小哥辛苦
1,还行吧，就是木瓜炖银耳太少了，还没有汤
1,汤包好吃！送得也快，天气很热，送餐员辛苦了！
1,很好，见过最负责配送！
1,还可以。拌面有点干，油多了。
1,"好~,小笼包也不错~"
1,小哥弄洒了奶茶，不过哈哈哈我并没有生气啦，只是故意调戏下～面辣辣的好吃～奶茶太甜了…
1,送餐速度快~只是食物比之前的量少了
1,奥尔良烤翅中直接是夹生的，完全没法吃的节奏⋯⋯其他很赞。强烈推荐芝士土豆球和五花肉石锅拌饭！
1,赞，不过泡菜五花肉略辣了些，个人口味问题。
1,感觉味道没有去实体店好吃
1,速度超级快，我吃完才确认送达的。味道也很好，份量很足。
1,送餐迅速，味道好。
1,送餐很快，量足，很好吃，方便，个别菜不是很热，联系送餐时再现做。
1,三明治的沙拉酱不太好吃
1,速度很快，味道稍咸了一点。水果沙拉不错
1,还好，没有什么油水.。。。
1,就是很好～～～～
1,牛肉汉堡超级棒
1,很好吃的饭跟芝士土豆球。就是速度有点慢。
1,"很好吃,特别快就到了"
1,挺好吃的，还给了我4瓶饮料
1,"给了两袋辣椒酱好开森,但是勺子断了,太不抗用了,虽然我也没怎么期待吧"
1,"外卖小哥,大赞"
1,汤洒了些，量不错不过洒了弄得袋子有些脏。鸡蛋非常好吃！
1,很快，味道也可以
1,黑椒味道很足
1,一个人吃量有点大，希望有小份的
1,"速度很快，味道不错,，送餐小哥态度也不错~"
1,送餐很快很好吃
1,挺好的，不过麻烦包装的严密点，漏汤真的很烦人
1,就是送餐很难，着急的童鞋慎重
1,又快又好吃……还便宜还送沙拉……
1,"刚下那个单就给你打电话了,你一分钟就给我做出来了？平时定的时候你怎么没那么快啊,这回顶个单你这么快埋怨我"
1,还可以，送的时间算快的了，半小时吧～
1,非常好吃的，就是今天慢了点儿，
1,有点偏淡～
1,很好哦，不要米饭给送了沙拉，谢谢
1,不能再赞了，我由于饿了让提前送了，居然20分钟就送来了，而且服务态度很好，送餐的打大叔态度也很好。重要的是食物好吃，我非常喜欢。好评全5分
1,还不错，就是米饭有点水…
1,味道挺好的，就是鸡肉比较少～
1,年糕好辣，不是微辣，果汁是苹果汁，送过来的没有石榴汁，好像快过期了，沙拉怎么好多水
1,"很好,很方便"
1,东西不错，就是慢点
1,"实惠,送餐快"
1,鱿鱼炒饭比鱿鱼石锅拌饭好吃
1,泡菜特别棒，大赞！
1,还可以、分量也足、但是有点软了
